audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,mean_recall,std_recall,mean_noise,std_noise,mean_pruned,std_pruned,mean_recall_delta_vs_random,mean_recall_delta_vs_uniform,n_videos
0.8,300,0.1,45,15,60,12.23,15.86,44.1,38.39,85.89,16.36,-6.39,-6.46,32
0.8,350,0.1,45,15,60,12.23,15.86,40.98,37.78,86.09,16.49,-6.39,-6.81,32
0.7,300,0.15,15,5,20,11.95,17.64,56.09,40.26,89.12,12.08,0.72,-0.49,32
0.7,350,0.15,15,5,20,11.95,17.64,56.09,40.26,89.3,12.1,0.72,0.23,32
0.7,300,0.1,15,5,20,11.63,18.02,61.07,42.78,89.12,12.08,-2.12,-2.51,32
0.7,350,0.1,15,5,20,11.63,18.02,61.07,42.78,89.3,12.1,-2.12,-1.47,32
0.8,300,0.15,45,15,60,11.2,16.3,41.47,39.07,85.89,16.36,-3.63,-6.19,32
0.8,350,0.15,45,15,60,11.2,16.3,38.34,38.26,86.09,16.49,-3.63,-6.41,32
0.8,150,0.05,30,10,40,10.94,18.68,62.76,41.97,87.63,14.86,-7.81,-7.03,32
0.8,150,0.1,30,10,40,10.41,16.88,52.54,40.5,87.63,14.86,-6.9,-4.25,32
0.8,150,0.15,30,10,40,10.34,16.77,48.11,40.28,87.63,14.86,-2.55,-2.18,32
0.8,200,0.05,30,10,40,10.16,18.6,59.94,43.05,88.56,12.6,-8.59,-6.25,32
0.8,250,0.05,30,10,40,10.16,18.6,56.82,43.66,89.3,11.67,-8.59,-5.47,32
0.8,300,0.05,30,10,40,10.16,18.6,56.82,43.66,89.99,11.54,-7.03,-5.47,32
0.8,350,0.05,30,10,40,10.16,18.6,53.69,44.03,90.13,11.63,-7.03,-5.47,32
0.8,200,0.1,30,10,40,9.72,15.4,49.1,40.61,88.56,12.6,-7.25,-3.56,32
